title,abstract,year,journal,cluster,top_terms
Clinical review: intensive care unit acquired weakness.,"A substantial number of patients admitted to the ICU because of an acute illness, complicated surgery, severe trauma, or burn injury will develop a de novo form of  muscle weakness during the ICU stay that is referred to as ""intensive care unit  acquired weakness"" (ICUAW). This ICUAW evoked by critical illness can be due to  axonal neuropathy, primary myopathy, or both. Underlying pathophysiological  mechanisms comprise microvascular, electrical, metabolic, and bioenergetic  alterations, interacting in a complex way and culminating in loss of muscle  strength and/or muscle atrophy. ICUAW is typically symmetrical and affects  predominantly proximal limb muscles and respiratory muscles, whereas facial and  ocular muscles are often spared. The main risk factors for ICUAW include high  severity of illness upon admission, sepsis, multiple organ failure, prolonged  immobilization, and hyperglycemia, and also older patients have a higher risk.  The role of corticosteroids and neuromuscular blocking agents remains unclear.  ICUAW is diagnosed in awake and cooperative patients by bedside manual testing of  muscle strength and the severity is scored by the Medical Research Council sum  score. In cases of atypical clinical presentation or evolution, additional  electrophysiological testing may be required for differential diagnosis. The  cornerstones of prevention are aggressive treatment of sepsis, early  mobilization, preventing hyperglycemia with insulin, and avoiding the use  parenteral nutrition during the first week of critical illness. Weak patients  clearly have worse acute outcomes and consume more healthcare resources. Recovery  usually occurs within weeks or months, although it may be incomplete with  weakness persisting up to 2 years after ICU discharge. Prognosis appears  compromised when the cause of ICUAW involves critical illness polyneuropathy,  whereas isolated critical illness myopathy may have a better prognosis. In  addition, ICUAW has shown to contribute to the risk of 1-year mortality. Future  research should focus on new preventive and/or therapeutic strategies for this  detrimental complication of critical illness and on clarifying how ICUAW  contributes to poor longer-term prognosis.",2015,"Critical care (London, England)",0,recovery; reloading; mass; muscle mass; mice
Molecular Mechanisms of Muscle Fatigue.,"Muscle fatigue (MF) declines the capacity of muscles to complete a task over time at a constant load. MF is usually short-lasting, reversible, and is experienced  as a feeling of tiredness or lack of energy. The leading causes of short-lasting  fatigue are related to overtraining, undertraining/deconditioning, or physical  injury. Conversely, MF can be persistent and more serious when associated with  pathological states or following chronic exposure to certain medication or toxic  composites. In conjunction with chronic fatigue, the muscle feels floppy, and the  force generated by muscles is always low, causing the individual to feel frail  constantly. The leading cause underpinning the development of chronic fatigue is  related to muscle wasting mediated by aging, immobilization, insulin resistance  (through high-fat dietary intake or pharmacologically mediated Peroxisome  Proliferator-Activated Receptor (PPAR) agonism), diseases associated with  systemic inflammation (arthritis, sepsis, infections, trauma, cardiovascular and  respiratory disorders (heart failure, chronic obstructive pulmonary disease  (COPD))), chronic kidney failure, muscle dystrophies, muscle myopathies, multiple  sclerosis, and, more recently, coronavirus disease 2019 (COVID-19). The primary  outcome of displaying chronic muscle fatigue is a poor quality of life. This type  of fatigue represents a significant daily challenge for those affected and for  the national health authorities through the financial burden attached to patient  support. Although the origin of chronic fatigue is multifactorial, the MF in  illness conditions is intrinsically linked to the occurrence of muscle loss. The  sequence of events leading to chronic fatigue can be schematically denoted as:  trigger (genetic or pathological) -> molecular outcome within the muscle cell ->  muscle wasting -> loss of muscle function -> occurrence of chronic muscle  fatigue. The present review will only highlight and discuss current knowledge on  the molecular mechanisms that contribute to the upregulation of muscle wasting,  thereby helping us understand how we could prevent or treat this debilitating  condition.",2021,International journal of molecular sciences,4,wasting; muscle wasting; sarcopenia; loss; understanding
Mesenchymal stromal cells ameliorate diabetes-induced muscle atrophy through exosomes by enhancing AMPK/ULK1-mediated autophagy.,"BACKGROUND: Diabetes and obesity are associated with muscle atrophy that reduces life quality and lacks effective treatment. Mesenchymal stromal cell (MSC)-based  therapy can ameliorate high fat-diet (HFD) and immobilization (IM)-induced muscle  atrophy in mice. However, the effect of MSCs on muscle atrophy in type 2 diabetes  mellitus (T2DM) and the potential mechanism is unclear. Here, we evaluated the  efficacy and explored molecular mechanisms of human umbilical cord MSCs (hucMSCs)  and hucMSC-derived exosomes (MSC-EXO) on diabetes- and obesity-induced muscle  atrophy. METHODS: Diabetic db/db mice, mice fed with high-fat diet (HFD), mice  with hindlimb immobilization (IM), and C2C12 myotubes were used to explore the  effect of hucMSCs or MSC-EXO in alleviating muscle atrophy. Grip strength test  and treadmill running were used to measure skeletal muscle strength and  performance. Body composition, muscle weight, and muscle fibre cross-sectional  area (CSA) was used to evaluate muscle mass. RNA-seq analysis of tibialis  anterior (TA) muscle and Western blot analysis of muscle atrophy signalling,  including MuRF1 and Atrogin 1, were performed to investigate the underlying  mechanisms. RESULTS: hucMSCs increased grip strength (P = 0.0256 in db/db mice,  P = 0.012 in HFD mice, P = 0.0097 in IM mice), running endurance (P = 0.0154 in  HFD mice, P = 0.0006 in IM mice), and muscle mass (P = 0.0004 in db/db mice,  P = 0.0076 in HFD mice, P = 0.0144 in IM mice) in all models tested, with  elevated CSA of muscle fibres (P < 0.0001 in db/db mice and HFD mice, P = 0.0088  in IM mice) and reduced Atrogin1 (P = 0.0459 in db/db mice, P = 0.0088 in HFD  mice, P = 0.0016 in IM mice) and MuRF1 expression (P = 0.0004 in db/db mice,  P = 0.0077 in HFD mice, P = 0.0451 in IM mice). MSC-EXO replicated all these  hucMSC-mediated changes (P = 0.0103 for grip strength, P = 0.013 for muscle mass,  P < 0.0001 for CSA of muscle fibres, P = 0.0171 for Atrogin1 expression, and  P = 0.006 for MuRF1 expression). RNA-seq revealed that hucMSCs activated the  AMPK/ULK1 signalling and enhanced autophagy. Knockdown of AMPK or inhibition of  autophagy with 3-methyladenine (3-MA) diminished the beneficial anti-atrophy  effects of hucMSCs or MSC-EXO. CONCLUSIONS: Our results suggest that human  umbilical cord mesenchymal stromal cells mitigate diabetes- and obesity-induced  muscle atrophy via enhancing AMPK/ULK1-mediated autophagy through exosomes, with  implications of applying hucMSCs or hucMSC-derived exosomes to treat muscle  atrophy.",2023,"Journal of cachexia, sarcopenia and muscle",9,mice; muscle atrophy; protein; immobilization; mass
DBC1 maintains skeletal muscle integrity by enhancing myogenesis and preventing myofibre wasting.,"BACKGROUND: Skeletal muscle atrophy, particularly ageing-related muscular atrophy such as sarcopenia, is a significant health concern. Despite its prevalence, the  underlying mechanisms remain poorly understood, and specific approved medications  are currently unavailable. Deleted in breast cancer 1 (DBC1) is a well-known  regulator of senescence, metabolism or apoptosis. Recent reports suggest that  DBC1 may also potentially regulate muscle function, as mice lacking DBC1 exhibit  weakness and limpness. However, the function of DBC1 in skeletal muscle and its  associated molecular mechanisms remain unknown, thus prompting the focus of this  study. METHODS: Tibialis anterior (TA) muscle-specific DBC1 knockdown C57BL/6J  male mice were generated through a single injection of 2.00 E + 11 vg of  adeno-associated virus 9 delivering single-guide RNA for DBC1. Grip strength and  endurance were assessed 2 months later, followed by skeletal muscle harvest.  Muscle atrophy model was generated by cast immobilization of the mouse hindlimb  for 2 weeks. Molecular markers of atrophy were probed in muscles upon  termination. Cardiotoxin (CTX) was injected in TA muscles of DBC1 knockdown mice,  and muscle regeneration was assessed by immunohistochemistry, quantitative PCR  and western blotting. DBC1 knockdown C2C12 cells and myotubes were investigated  using immunofluorescence staining, Seahorse, immunohistology,  fluorescence-activated cell sorting and RNA-sequencing analyses. RESULTS: DBC1  knockdown in skeletal muscle of young mice led to signatures of muscle atrophy,  including a 28% reduction in muscle grip force (P = 0.023), a 54.4% reduction in  running distance (P = 0.002), a 14.3% reduction in muscle mass (P = 0.007) and  significantly smaller myofibre cross-sectional areas (P < 0.0001). DBC1 levels  decrease in age-related or limb immobilization-induced atrophic mouse muscles and  overexpress DBC1-attenuated atrophic phenotypes in these mice. Muscle  regeneration was hampered in mice with CTX-induced muscle injury by DBC1  knockdown, as evidenced by reductions in myofibre cross-sectional areas of  regenerating myofibres with centralized nuclei (P < 0.0001), percentages of  MyoG(+) nuclei (P < 0.0001) and fusion index (P < 0.0001). DBC1 transcriptionally  regulated mouse double minute 2 (MDM2), which mediated ubiquitination and  degradation of forkhead box O3 (FOXO3). Increased FOXO3 proteins hampered  myogenesis in DBC1 knockdown satellite cells by compromising around 50% of  mitochondrial functions (P < 0.001) and exacerbated atrophy in DBC1 knockdown  myofibres by activating the ubiquitin-proteasome and autophagy-lysosome pathways.  CONCLUSIONS: DBC1 is essential in maintaining skeletal muscle integrity by  protecting against myofibres wasting and enhancing muscle regeneration via FOXO3.  This research highlights the significance of DBC1 for healthy skeletal muscle  function and its connection to muscular atrophy.",2024,"Journal of cachexia, sarcopenia and muscle",9,mice; muscle atrophy; protein; immobilization; mass
Muscle Disuse Atrophy.,"Muscle disuse atrophy is characterized by a significant reduction in skeletal muscle mass and strength, primarily induced by prolonged periods of inactivity  and inadequate mechanical stimulus. This condition is frequently encountered in  clinical scenarios, especially in cases where patients undergo limb  immobilization due to injuries or suffer from spinal cord impairments. The  severity of muscle atrophy is often exacerbated by additional factors, such as  advancing age and nutritional deficiencies, underscoring the multifaceted nature  of this condition. Over the last two decades, significant advancements have been  made in understanding the processes that lead to muscle degradation. Insights  into the molecular and cellular mechanisms driving muscle catabolism in the  absence of regular physical activity have been gained through research utilizing  rodent models such as hindlimb unloading and immobilization, denervation, and  spinal cord isolation. These experimental models have provided information on the  morphological and functional deterioration as well as the extent of understanding  of the molecular and cellular processes in response to disuse-induced muscle  wasting. Despite these efforts, the therapeutic options for ameliorating muscle  disuse atrophy are limited. Resistance training has been identified as the most  effective intervention for reversing muscle mass and strength loss, yet it may  only be feasible for some patients due to physical limitations or a lack of  motivation to engage in intensive exercise routines. In response to these  challenges, ongoing research is focused on identifying alternative therapeutic  strategies, encompassing both pharmacological and non-pharmacological approaches,  aimed at either preventing the onset of muscle atrophy or facilitating recovery  following atrophic events. The implications of muscle disuse atrophy extend  beyond clinical manifestations, impacting individuals' quality of life by  impairing physical endurance and the capacity to perform daily activities. This  chapter aims to offer an exhaustive summary of the various signals, pathways, and  breakdown mechanisms implicated in muscle atrophy. Additionally, it will present  the latest developments in therapeutic strategies addressing this condition.",2025,Advances in experimental medicine and biology,4,wasting; muscle wasting; sarcopenia; loss; understanding
Disuse-induced muscle wasting.,"Loss of skeletal muscle mass occurs frequently in clinical settings in response to joint immobilization and bed rest, and is induced by a combination of  unloading and inactivity. Disuse-induced atrophy will likely affect every person  in his or her lifetime, and can be debilitating especially in the elderly.  Currently there are no good therapies to treat disuse-induced muscle atrophy, in  part, due to a lack of understanding of the cellular and molecular mechanisms  responsible for the induction and maintenance of muscle atrophy. Our current  understanding of disuse atrophy comes from the investigation of a variety of  models (joint immobilization, hindlimb unloading, bed rest, spinal cord injury)  in both animals and humans. Under conditions of unloading, it is widely accepted  that there is a decrease in protein synthesis, however, the role of protein  degradation, especially in humans, is debated. This review will examine the  current understanding of the molecular and cellular mechanisms regulating muscle  loss under disuse conditions, discussing the similarities and areas of dispute  between the animal and human literature. This article is part of a Directed Issue  entitled: Molecular basis of muscle wasting.",2013,The international journal of biochemistry & cell biology,4,wasting; muscle wasting; sarcopenia; loss; understanding
Long-term human spaceflight and inflammaging: Does it promote aging?,"Spaceflight and its associated stressors, such as microgravity, radiation exposure, confinement, circadian derailment and disruptive workloads represent an  unprecedented type of exposome that is entirely novel from an evolutionary stand  point. Within this perspective, we aimed to review the effects of prolonged  spaceflight on immune-neuroendocrine systems, brain and brain-gut axis,  cardiovascular system and musculoskeletal apparatus, highlighting in particular  the similarities with an accelerated aging process. In particular,  spaceflight-induced muscle atrophy/sarcopenia and bone loss, vascular and  metabolic changes, hyper and hypo reaction of innate and adaptive immune system  appear to be modifications shared with the aging process. Most of these  modifications are mediated by molecular events that include oxidative and  mitochondrial stress, autophagy, DNA damage repair and telomere length  alteration, among others, which directly or indirectly converge on the activation  of an inflammatory response. According to the inflammaging theory of aging, such  an inflammatory response could be a driver of an acceleration of the normal,  physiological rate of aging and it is likely that all the systemic modifications  in turn lead to an increase of inflammaging in a sort of vicious cycle. The most  updated countermeasures to fight these modifications will be also discussed in  the light of their possible application not only for astronauts' benefit, but  also for older adults on the ground.",2023,Ageing research reviews,6,microgravity; space; spaceflight; simulated; mitochondrial
Mitochondrial dysregulation and muscle disuse atrophy.,"It is well established that mitochondria play a critical role in the metabolic and physiological adaptation of skeletal muscle to enhanced contractile activity.  Several redox-sensitive signaling pathways such as PGC-1α, AMPK, IGF/Akt/mTOR,  SIRT, NFκB, and FoxO are involved with extensive crosstalk to regulate vital  cellular functions such as mitochondrial biogenesis, mitochondrial fusion and  fission dynamics, autophagy/mitophagy, and apoptosis under altered demand and  stress. However, when muscles cease contraction, such as during immobilization  and denervation, mitochondria undergo a series of detrimental changes  characterized by downregulation of PGC-1α and antioxidant defense, increased ROS  generation, activated FoxO, NFκB, and inflammation, enhanced ubiquitination, and  finally mitophagy and apoptotic cascades. The phenotypic outcome of the discord  of mitochondrial homeostasis is elevated proteolysis and muscle atrophy. The  demonstration that PGC-1α overexpression via transgene or in vivo DNA  transfection can restore mitochondrial homeostasis and reverse myocyte atrophy  supports the ""mitostasis theory of muscle atrophy"".",2019,F1000Research,3,mitochondrial; ros; pgc1α; disuse; mitophagy
[Muscle fiber atrophy].,"Muscle fibers have been classified into two major forms of red (slow twitch) and white (fast twitch) muscles. The red muscle utilizes lipid as energy source  through mitochondrial metabolism and function to sustain the position against  gravity (sometimes called as antigravity muscle). Under microgravity the red  muscle is selectively involved. In our unloading study by hindlimb suspension  experiment on rats, the one of the representative red muscle of soleus muscle  underwent rapid atrophy; they reduced their weights about 50% after 2  week-unloading. In addition, myofibrils were occasionally markedly disorganized  with selective thin filament loss. Mitochondria in the degenerated area were  decreased in number. The white muscle fibers in the soleus muscle had mostly  transformed to the red ones. It took about 1 month to recover morphologically.  The satellite cell playing a major role in muscle regeneration was not activated.  There still remained unsolved what are the mechanosensors to keep muscle function  under normal gravity. Dr Nikawa's group proposed that one of ubiquitin ligases,  Cbl-b is activated under microgravity and induces muscle fiber degeneration.  There might be many factors to induce muscle atrophy and degeneration under  microgravity. Further study is necessary to explore the pathomechanism of muscle  atrophy in disused and under immobility conditions.",2012,Rinsho shinkeigaku = Clinical neurology,6,microgravity; space; spaceflight; simulated; mitochondrial
The role and regulation of MAFbx/atrogin-1 and MuRF1 in skeletal muscle atrophy.,"Skeletal muscle atrophy occurs in many chronic diseases and disuse conditions. Its severity reduces patient recovery, independence and quality of life. The  discovery of two muscle-specific E3 ubiquitin ligases, MAFbx/atrogin-1 and Muscle  RING Finger-1 (MuRF1), promoted an expectation of these molecules as targets for  therapeutic development. While numerous studies have determined the conditions in  which MAFbx/atrogin-1 and MuRF1 mRNA levels are regulated, few studies have  investigated their functional role in skeletal muscle. Recently, studies  identifying new target substrates for MAFbx/atrogin-1 and MuRF1, outside of their  response to the initiation of muscle atrophy, suggest that there is more to these  proteins than previously appreciated. This review will highlight our present  knowledge of MAFbx/atrogin-1 and MuRF1 in skeletal muscle atrophy, the impact of  potential therapeutics and their known regulators and substrates. Finally, we  will comment on new approaches that may expand our knowledge of these two  molecules in their control of skeletal muscle function.",2011,Pflugers Archiv : European journal of physiology,7,skeletal; skeletal muscle; muscle atrophy; protein; role
